,Ta,RH
2021-07-01 18:10:00,19.04,77.97
2021-07-01 18:20:00,19.11,79.65
2021-07-01 18:30:00,18.97,79.37
2021-07-01 18:40:00,18.76,78.53
2021-07-01 18:50:00,18.56,79.93
2021-07-01 19:00:00,18.32,81.05
2021-07-01 19:10:00,18.14,80.77
2021-07-01 19:20:00,18.04,79.93
2021-07-01 19:30:00,17.89,80.21
2021-07-01 19:40:00,17.72,80.21
2021-07-01 19:50:00,17.5,80.49
2021-07-01 20:00:00,17.29,79.65
2021-07-01 20:10:00,17.13,80.77
2021-07-01 20:20:00,17.03,81.33
2021-07-01 20:30:00,16.91,82.45
2021-07-01 20:40:00,16.83,83.01
2021-07-01 20:50:00,16.77,83.29
2021-07-01 21:00:00,16.76,83.85
2021-07-01 21:10:00,16.77,84.41
2021-07-01 21:20:00,16.74,84.13
2021-07-01 21:30:00,16.63,84.97
2021-07-01 21:40:00,16.47,85.84
2021-07-01 21:50:00,16.36,86.42
2021-07-01 22:00:00,16.26,87.3
2021-07-01 22:10:00,16.2,87.6
2021-07-01 22:20:00,16.1,88.77
2021-07-01 22:30:00,16.02,89.35
2021-07-01 22:40:00,15.93,89.65
2021-07-01 22:50:00,15.91,90.23
2021-07-01 23:00:00,15.96,90.53
2021-07-01 23:10:00,15.98,91.11
2021-07-01 23:20:00,16.11,91.41
2021-07-01 23:30:00,16.25,90.82
2021-07-01 23:40:00,16.35,90.53
2021-07-01 23:50:00,16.44,89.94
2021-07-02 00:00:00,16.55,89.94
2021-07-02 00:10:00,16.64,89.35
2021-07-02 00:20:00,16.67,89.35
2021-07-02 00:30:00,16.69,89.35
2021-07-02 00:40:00,16.76,89.35
2021-07-02 00:50:00,16.86,89.35
2021-07-02 01:00:00,17.06,88.47
2021-07-02 01:10:00,17.2,87.6
2021-07-02 01:20:00,17.23,87.6
2021-07-02 01:30:00,17.29,87.3
2021-07-02 01:40:00,17.33,87.3
2021-07-02 01:50:00,17.33,86.42
2021-07-02 02:00:00,17.3,86.72
2021-07-02 02:10:00,17.12,87.6
2021-07-02 02:20:00,16.91,88.18
2021-07-02 02:30:00,16.72,89.06
2021-07-02 02:40:00,16.61,89.35
2021-07-02 02:50:00,16.49,89.94
2021-07-02 03:00:00,16.36,90.53
2021-07-02 03:10:00,16.37,90.82
2021-07-02 03:20:00,16.46,89.94
2021-07-02 03:30:00,16.45,89.65
2021-07-02 03:40:00,16.34,89.94
2021-07-02 03:50:00,16.15,90.23
2021-07-02 04:00:00,15.97,91.11
2021-07-02 04:10:00,15.82,91.41
2021-07-02 04:20:00,15.74,91.7
2021-07-02 04:30:00,15.72,91.11
2021-07-02 04:40:00,15.75,89.65
2021-07-02 04:50:00,15.76,89.06
2021-07-02 05:00:00,15.75,87.89
2021-07-02 05:10:00,15.76,87.3
2021-07-02 05:20:00,15.82,87.6
2021-07-02 05:30:00,15.98,85.84
2021-07-02 05:40:00,16.23,84.41
2021-07-02 05:50:00,16.56,80.77
2021-07-02 06:00:00,16.91,80.77
2021-07-02 06:10:00,17.26,79.93
2021-07-02 06:20:00,17.63,76.02
2021-07-02 06:30:00,17.96,74.06
2021-07-02 06:40:00,18.25,75.74
2021-07-02 06:50:00,18.4,73.22
2021-07-02 07:00:00,18.38,72.94
2021-07-02 07:10:00,18.38,72.94
2021-07-02 07:20:00,18.42,71.26
2021-07-02 07:30:00,18.38,73.5
2021-07-02 07:40:00,18.5,71.82
2021-07-02 07:50:00,18.62,72.1
2021-07-02 08:00:00,19.09,70.44
2021-07-02 08:10:00,19.74,69.38
2021-07-02 08:20:00,20.14,68.58
2021-07-02 08:30:00,20.4,67.25
2021-07-02 08:40:00,20.66,66.45
2021-07-02 08:50:00,20.76,65.12
2021-07-02 09:00:00,20.95,65.12
2021-07-02 09:10:00,21.01,64.05
2021-07-02 09:20:00,21.21,63.52
2021-07-02 09:30:00,21.26,63.79
2021-07-02 09:40:00,21.33,62.19
2021-07-02 09:50:00,21.55,64.32
2021-07-02 10:00:00,21.93,61.39
2021-07-02 10:10:00,22.33,62.72
2021-07-02 10:20:00,22.58,60.59
2021-07-02 10:30:00,22.7,61.12
2021-07-02 10:40:00,22.84,62.19
2021-07-02 10:50:00,23.04,61.92
2021-07-02 11:00:00,23.22,60.59
2021-07-02 11:10:00,23.48,60.59
2021-07-02 11:20:00,23.12,60.32
2021-07-02 11:30:00,22.73,62.19
2021-07-02 11:40:00,22.54,62.99
2021-07-02 11:50:00,22.66,62.45
2021-07-02 12:00:00,22.72,65.12
2021-07-02 12:10:00,22.53,65.38
2021-07-02 12:20:00,22.49,66.98
2021-07-02 12:30:00,22.92,66.18
2021-07-02 12:40:00,23.12,66.18
2021-07-02 12:50:00,23.37,64.85
2021-07-02 13:00:00,23.83,64.05
2021-07-02 13:10:00,24.19,63.52
2021-07-02 13:20:00,24.76,61.66
2021-07-02 13:30:00,25.32,59.53
2021-07-02 13:40:00,25.58,58.73
2021-07-02 13:50:00,25.66,59.79
2021-07-02 14:00:00,25.24,59.53
2021-07-02 14:10:00,24.84,60.86
2021-07-02 14:20:00,24.66,61.66
2021-07-02 14:30:00,24.13,64.05
2021-07-02 14:40:00,23.48,64.58
2021-07-02 14:50:00,23.05,66.98
2021-07-02 15:00:00,22.79,65.92
2021-07-02 15:10:00,22.71,67.78
2021-07-02 15:20:00,22.68,67.51
2021-07-02 15:30:00,22.73,66.45
2021-07-02 15:40:00,22.78,65.12
2021-07-02 15:50:00,22.86,66.71
2021-07-02 16:00:00,23.02,66.71
2021-07-02 16:10:00,23.18,65.38
2021-07-02 16:20:00,23.32,64.85
2021-07-02 16:30:00,23.3,66.45
2021-07-02 16:40:00,23.19,67.25
2021-07-02 16:50:00,23.11,68.58
2021-07-02 17:00:00,23.11,67.25
2021-07-02 17:10:00,23.15,67.78
2021-07-02 17:20:00,23.15,67.25
2021-07-02 17:30:00,22.63,70.44
2021-07-02 17:40:00,21.89,73.22
2021-07-02 17:50:00,21.18,79.65
2021-07-02 18:00:00,20.49,88.77
2021-07-02 18:10:00,19.78,91.99
2021-07-02 18:20:00,19.26,93.75
2021-07-02 18:30:00,18.92,94.63
2021-07-02 18:40:00,18.8,96.97
2021-07-02 18:50:00,18.86,96.39
2021-07-02 19:00:00,18.94,97.56
2021-07-02 19:10:00,19.02,98.73
2021-07-02 19:20:00,19.11,99.32
